steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,top10_games,top3_game_tags,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated,timestamp_dev_responded, developer_response
76561198936263560,91,3,570,24,570,2023-05-04 22:01:29,,,137779885,schinese,这个不能称之为游戏，更像是一次体验。相信很少有人能沉浸里面去玩，因为太枯燥了。从成就就可以看出来，大多数都是0.1%，大概自从打开一次就没玩了。当初玩这个游戏的初心就是想慢慢悠悠玩一些消磨时间的游戏，可到头来也只是打开过几次。到结束了才发现已经结束了。突然感觉到和生活很类似。很多事没办法像现在很多游戏短视频一样立即给你反馈的尤其是学习成长的，需要一点点慢慢地才能水滴石穿。最后，漫长的等待已经结束也再没有返回的机会，多少遗憾多少怅然也都结束。我漫长的等待什么时候结束呢，至少现在慢慢做些事吧,2023-05-04 22:20:29,2023-05-04 22:20:29,True,0,0,0,0,True,False,False,True,,247,False,,
76561198987958985,137,151,712,0,712,2022-12-10 16:01:51,,,137703528,schinese,5分，其实游戏里能探索的很多，给你1年的现实时间，但是我基本上第一次打开之后就没怎么玩过,2023-05-03 07:03:43,2023-05-03 07:03:43,True,0,0,0,0,True,False,False,True,,44,False,,
76561198316126937,561,29,7,7,7,2023-04-21 19:45:04,,,137049543,schinese,400天后游戏会迎来什么样的结局，而我又会迎来什么样的结局呢？;400天可以改变很多东西，也会什么都改变不了,2023-04-21 19:50:25,2023-04-21 19:50:25,True,2,0,0.531914889812469482,0,True,False,False,True,,54,False,,
76561198171562514,285,13,2669,0,2669,2021-01-05 05:04:32,,,137007831,tchinese,看著家裡的物品越來越多我很開心，不過我還是決定讓小黑到地面生活。,2023-04-20 23:10:04,2023-04-24 15:27:01,True,3,0,0.555683791637420654,0,True,False,False,True,,32,True,,
76561198982746324,296,44,2463,0,2463,2023-01-21 16:26:28,,,136583201,schinese,很有意思,2023-04-13 00:52:47,2023-04-13 17:58:06,True,0,0,0,0,True,False,False,True,,4,True,,
76561198257951910,46,4,4522,0,2461,2023-04-14 16:54:38,,,136511360,schinese,我尝试修改了"books_plaintext"中的文本，自己替换为中文版本，但是进入游戏后发现部分中文汉字只能被显示为“□”，有人遇到同类的问题，或者成功解决了类似的问题吗？很喜欢这个游戏，但发现我无法让影子阅读我自己用中文写下的东西，实在是一件憾事。;;I tried to modify the text in 'books_plaintext' and replaced it with the Chinese version myself， but after entering the game， I found that some Chinese characters can only be displayed as' □ '. Has anyone encountered similar problems or successfully solved them? I really like this game， but it's a pity to find that I can't let my shadow read what I wrote in Chinese.,2023-04-11 15:12:48,2023-04-11 15:12:48,True,2,0,0.531914889812469482,0,True,False,False,True,,496,False,,
76561199076822298,337,51,19,0,19,2022-11-27 02:02:55,,,136398582,schinese,深怕自己本非美玉，故而不敢加以刻苦琢磨，却又半信自己是块美玉，故又不肯庸庸碌碌，与瓦研为伍。于是我渐渐地脱离凡尘，疏远世人，结果便是任愤懑与羞恨日益助长内心那怯弱的自尊心。,2023-04-09 16:54:17,2023-04-09 16:54:17,True,0,0,0,0,True,False,False,True,,86,False,,
76561198974948413,180,13,1328,0,1328,2021-10-11 21:39:48,,,136389726,schinese,400天长吗，看起来很长，但在我写下这些的时候，却已经过去快两年了。,2023-04-09 12:47:20,2023-04-09 12:47:20,True,3,0,0.562404274940490723,0,True,False,False,True,,34,False,,
76561198974170904,38,4,8849,387,2024,2023-04-23 03:57:34,,,136313350,schinese,看了一圈大家的评测我才知道，原来篝火和画就是会让时间流速不同啊。。;我发现秒数跳的很快还以为是我游戏坏掉了，把游戏开开关关的重启了好几遍,2023-04-08 11:06:09,2023-04-08 11:06:09,True,3,0,0.551325678825378418,0,True,False,False,True,,68,False,,
76561198996549819,145,42,895,0,895,2022-09-10 17:41:41,,,135878587,schinese,太慢了，真的太慢了。很有哲思的游戏，但是哲思不代表枯燥，更不代表用角色移动速度来强行拖慢玩家的游戏体验。思考很深邃，但是很吃玩家自身的阅历。不错的文艺作品，但是作为游戏不合格。只推荐有大把闲工夫的人看看。,2023-04-01 21:36:05,2023-04-01 21:36:05,False,1,0,0.481351137161254883,0,True,False,False,True,,102,False,,
